V ops ElogV
10 41 66.43856189774725
10 59 99.65784284662088
10 86 116.2674833210577
10 82 132.8771237954945
10 92 149.4867642699313
20 179 259.31568569324173
20 233 432.19280948873626
20 318 518.6313713864835
20 326 648.2892142331044
20 411 821.166338028599
30 232 392.5512476486815
30 381 588.8268714730223
30 529 981.3781191217038
30 633 1472.0671786825556
30 786 1962.7562382434076
40 264 532.1928094887363
40 561 1064.3856189774726
40 795 1596.5784284662088
40 1099 2660.9640474436815
40 1351 3725.349666421154
50 678 1128.7712379549448
50 1040 2257.5424759098896
50 1359 3386.3137138648344
50 1600 4515.084951819779
50 1783 5643.856189774724
